都道府県名,市区町村名,名称,文化財分類,種類,住所,緯度,経度
山口県,下関市,小串エヒメアヤメ自生南限地帯,天然記念物,,下関市豊浦町大字小串,34.176769,130.937637
山口県,下関市,六連島の雲母玄武岩,天然記念物,,下関市大字六連島,33.975601,130.863251
山口県,下関市,壁島ウ渡来地,天然記念物,,下関市豊北町大字神田上,34.281658,130.900955
山口県,下関市,恩徳寺の結びイブキ,天然記念物,,下関市豊北町大字神田,34.328148,130.901138
山口県,下関市,木屋川・音信川ゲンジボタル発生地,天然記念物,,下関市,33.957287,130.940964
山口県,宇部市,宗隣寺庭園,名勝,,宇部市大字小串,33.949139,131.232529
山口県,宇部市,吉部の大岩郷,天然記念物,,宇部市大字西吉部,34.118626,131.258057
山口県,山口市,常栄寺庭園,史跡;名勝,,山口市宮野下,34.200893,131.502975
山口県,山口市,大村益次郎墓,史跡,,山口市鋳銭司,34.086681,131.464523
山口県,山口市,野谷石風呂,史跡,,山口市徳地野谷,34.291553,131.642426
山口県,山口市,佐波川関水,史跡,,山口市徳地船路,34.26215,131.667877
山口県,山口市,陶陶窯跡,史跡,,山口市陶,34.094673,131.428513
山口県,山口市,大内氏遺跡附凌雲寺跡,史跡,,山口市上宇野令ほか,34.2076,131.461365
山口県,山口市,周防鋳銭司跡,史跡,,山口市鋳銭司,34.086681,131.464523
山口県,山口市,萩藩主毛利家墓所,史跡,,山口市香山町,34.189232,131.473114
山口県,山口市,朝田墳墓群,史跡,,山口市朝田・吉敷,34.149879,131.417313
山口県,山口市,萩往還（関連遺跡：国境の碑・一の坂一里塚・六軒茶屋）,史跡,,山口市,34.178333,131.473892
山口県,山口市,周防灘干拓遺跡（名田島新開作南蛮樋）,史跡,,山口市名田島,34.068817,131.414719
山口県,山口市,長門峡,名勝,,山口市阿東,34.444439,131.66835
山口県,山口市,常徳寺庭園,名勝,,山口市阿東蔵目喜,34.387344,131.568405
山口県,山口市,小郡町ナギ自生北限地,天然記念物,,山口市小郡上郷,34.134544,131.395523
山口県,山口市,平川の大スギ,天然記念物,,山口市吉田,34.139793,131.471832
山口県,山口市,法泉寺のシンパク,天然記念物,,山口市滝町,34.188477,131.465515
山口県,山口市,山口ゲンジボタル発生地,天然記念物,,山口市（一円）,34.178333,131.473892
山口県,山口市,龍蔵寺のイチョウ,天然記念物,,山口市吉敷,34.183544,131.411957
山口県,山口市,出雲神社ツルマンリョウ自生地,天然記念物,,山口市徳地堀,34.189011,131.636612
山口県,萩市,松下村塾,史跡,,萩市大字椿東,34.426121,131.413086
山口県,萩市,吉田松陰幽囚ノ旧宅,史跡,,萩市大字椿東,34.426121,131.413086
山口県,萩市,萩反射炉,史跡,,萩市大字椿東,34.426121,131.413086
山口県,萩市,旧萩藩校明倫館,史跡,,萩市大字江向,34.406464,131.397812
山口県,萩市,木戸孝允旧宅,史跡,,萩市呉服町,34.412678,131.393188
山口県,萩市,伊藤博文旧宅,史跡,,萩市大字椿東,34.426121,131.413086
山口県,萩市,旧萩藩御船倉,史跡,,萩市大字東浜崎,34.419552,131.402603
山口県,萩市,萩城跡,史跡,,萩市大字堀内字旧城ほか,34.416138,131.384445
山口県,萩市,萩城城下町,史跡,,萩市呉服町・南古萩町,34.412678,131.393188
山口県,萩市,萩藩主毛利家墓所,史跡,,"萩市大字堀内
萩市大字椿字青海
萩市大字椿東字松本",34.416138,131.384445
山口県,萩市,見島ジーコンボ古墳群,史跡,,萩市見島,34.778282,131.140091
山口県,萩市,萩往還（関連遺跡：唐樋札場跡・涙松跡・悴坂一里塚跡・悴坂駕籠建場・上長瀬一里塚・逆修石）,史跡,,萩市,34.408054,131.39917
山口県,萩市,大板山たたら製鉄遺跡,史跡,,萩市大字紫福,34.473858,131.522369
山口県,萩市,恵美須ヶ鼻造船所跡,史跡,,萩市大字椿東,34.426121,131.413086
山口県,萩市,長門峡,名勝,,萩市,34.408054,131.39917
山口県,萩市,須佐湾,名勝;天然記念物,,萩市須佐,34.62389,131.623734
山口県,萩市,明神池,天然記念物,,萩市大字椿東越ヶ浜,34.426121,131.413086
山口県,萩市,笠山コウライタチバナ自生地,天然記念物,,萩市大字椿東,34.426121,131.413086
山口県,萩市,見島ウシ産地,天然記念物,,萩市見島,34.778282,131.140091
山口県,萩市,見島のカメ生息地,天然記念物,,萩市見島,34.778282,131.140091
山口県,萩市,川上のユズおよびナンテン自生地,天然記念物,,萩市川上字遠谷,34.35368,131.495499
山口県,萩市,須佐高山の磁石石,天然記念物,,萩市大字須佐,34.62389,131.623734
山口県,萩市,指月山,天然記念物,,萩市大字堀内字旧城,34.416138,131.384445
山口県,防府市,敷山城跡,史跡,,防府市大字牟礼,34.070194,131.610596
山口県,防府市,周防国衙跡,史跡,,防府市国衙ほか,34.054188,131.584061
山口県,防府市,大日古墳,史跡,,防府市大字高井,34.07885,131.546982
山口県,防府市,周防国分寺旧境内,史跡,,防府市国分寺町,34.064667,131.579483
山口県,防府市,萩往還（関連遺跡：宮市本陣兄部家・三田尻御茶屋旧構内・住吉神社石造燈台・三田尻御舟倉跡）,史跡,,防府市,34.051945,131.562775
山口県,防府市,毛利氏庭園,名勝,,防府市多々良一丁目,34.063034,131.586716
山口県,防府市,エヒメアヤメ自生南限地帯,天然記念物,,防府市大字西浦,34.023197,131.521393
山口県,防府市,向島タヌキ生息地,天然記念物,,防府市大字向島,34.005028,131.580688
山口県,岩国市,錦帯橋,名勝,,岩国市錦見・横山,34.170242,132.188629
山口県,岩国市,岩屋観音窟,天然記念物,,岩国市美川町根笠,34.17886,131.997543
山口県,岩国市,南桑カジカガエル生息地,天然記念物,,岩国市美川町南桑,34.211948,132.02681
山口県,光市,石城山神籠石,史跡,,光市石城・山中,33.961895,131.942123
山口県,光市,峨嵋山樹林,天然記念物,,光市大字室積,33.931297,131.973618
山口県,長門市,大日比ナツミカン原樹,史跡;天然記念物,,長門市仙崎,34.390049,131.198837
山口県,長門市,青海島鯨墓,史跡,,長門市通,34.427689,131.244095
山口県,長門市,村田清風旧宅および墓,史跡,,長門市三隅下,34.363853,131.223495
山口県,長門市,青海島,名勝;天然記念物,,長門市仙崎・通,34.390049,131.198837
山口県,長門市,俵島,名勝;天然記念物,,長門市油谷向津具下,34.414085,130.971558
山口県,長門市,竜宮の潮吹,天然記念物;名勝,,長門市油谷津黄,34.41777,131.078171
山口県,長門市,木屋川・音信川ゲンジボタル発生地,天然記念物,,長門市,34.37056,131.182617
山口県,柳井市,茶臼山古墳,史跡,,柳井市大字柳井,33.983452,132.112854
山口県,柳井市,余田臥龍梅,天然記念物,,柳井市大字余田,33.98584,132.067093
山口県,美祢市,長登銅山跡,史跡,,美祢市美東町大字長登地内,34.232838,131.357422
山口県,美祢市,景清穴,天然記念物,,美祢市美東町,34.201679,131.367752
山口県,美祢市,大正洞,天然記念物,,美祢市美東町,34.201679,131.367752
山口県,美祢市,中尾洞,天然記念物,,美祢市秋芳町大字青景,34.232285,131.297791
山口県,美祢市,万倉の大岩郷,天然記念物,,美祢市伊佐町奥万倉,34.136124,131.230743
山口県,周南市,大玉スギ,天然記念物,,周南市大字須々万,34.149956,131.870239
山口県,山陽小野田市,周防灘干拓遺跡（高泊開作浜五挺唐樋）,史跡,,山陽小野田市大字西高泊,34.008778,131.163803
山口県,周防大島町,安下庄のシナナシ,天然記念物,,周防大島町大字西安下庄,33.893017,132.263794
山口県,阿武町,白須たたら製鉄遺跡,史跡,,阿武町惣郷白須,34.584091,131.576477
山口県,,オオサンショウウオ,特別天然記念物,,地域を定めず,,
山口県,,烏骨鶏,天然記念物,,地域を定めず,,
山口県,,黒柏鶏,天然記念物,,地域を定めず,,
山口県,,岩国のシロヘビ,天然記念物,,地域を定めず,,
山口県,萩市,三輪邦廣（三輪休和）,記録作成等の措置を講ずべき無形文化財,陶芸（萩焼）,萩市,34.408054,131.39917
山口県,長門市,十二代　坂倉新兵衛,記録作成等の措置を講ずべき無形文化財,陶芸（萩焼）,長門市,34.37056,131.182617
山口県,山口市,山口鷺流狂言保存会,記録作成等の措置を講ずべき無形文化財,能楽（鷺流狂言）,山口市,34.178333,131.473892
山口県,下関市,蓋井島「山の神」神事,記録作成等の措置を講ずべき無形の民俗文化財,,下関市蓋井島,34.103645,130.786667
山口県,山口市,徳地人形浄瑠璃,記録作成等の措置を講ずべき無形の民俗文化財,,山口市徳地堀,34.189011,131.636612
山口県,防府市,玉祖神社の占手神事,記録作成等の措置を講ずべき無形の民俗文化財,,防府市大崎,34.072056,131.543915
山口県,岩国市,岩国南条踊,記録作成等の措置を講ずべき無形の民俗文化財,,岩国市,34.166595,132.218842
山口県,岩国市,行波の神舞,記録作成等の措置を講ずべき無形の民俗文化財,,岩国市行波,34.17498,132.091461
山口県,長門市,赤崎神社奉納芸能,記録作成等の措置を講ずべき無形の民俗文化財,,長門市深川,34.332188,131.172775
山口県,長門市,滝坂神楽舞,記録作成等の措置を講ずべき無形の民俗文化財,,長門市三隅上,34.349613,131.303635
山口県,周南市,八代の花笠踊,記録作成等の措置を講ずべき無形の民俗文化財,,周南市大字八代,34.094254,131.945099
山口県,周南市,三作神楽,記録作成等の措置を講ずべき無形の民俗文化財,,周南市大字夏切,34.164524,131.73912
山口県,,周防・長門の辻堂の習俗,記録作成等の措置を講ずべき無形の民俗文化財,,県内全域,,
山口県,萩市,萩市堀内地区伝統的建造物群保存地区,重要伝統的建造物群保存地区,,萩市大字堀内,34.416138,131.384445
山口県,萩市,萩市平安古地区伝統的建造物群保存地区,重要伝統的建造物群保存地区,,萩市大字平安古町字平安古,34.406136,131.38855
山口県,萩市,萩市浜崎伝統的建造物群保存地区,重要伝統的建造物群保存地区,,萩市大字浜崎町字浜崎町ほか,34.420837,131.400467
山口県,萩市,萩市佐々並市伝統的建造物群保存地区,重要伝統的建造物群保存地区,,萩市佐々並,34.265903,131.456161
山口県,萩市,柳井市古市金屋伝統的建造物群保存地区,重要伝統的建造物群保存地区,,柳井市大字柳井津字古市町ほか,33.967808,132.110336
山口県,宇部市,馬場良治,選定保存技術,,宇部市,33.951511,131.246811
山口県,下関市,下関市水道局内日第一貯水池取水塔,登録有形文化財,,下関市大字内日字猿山,34.102749,130.967499
山口県,下関市,下関市水道局内日貯水池事務所,登録有形文化財,,下関市大字内日字猿山,34.102749,130.967499
山口県,下関市,下関市水道局高尾浄水場着水井,登録有形文化財,,下関市春日町,33.959496,130.92923
山口県,下関市,下関市水道局高尾浄水場四号円形濾過池,登録有形文化財,,下関市春日町,33.959496,130.92923
山口県,下関市,下関市水道局高尾浄水場四号円形濾過池付設調節井,登録有形文化財,,下関市春日町,33.959496,130.92923
山口県,下関市,下関市水道局高尾浄水場配水池,登録有形文化財,,下関市春日町,33.959496,130.92923
山口県,下関市,下関市水道局内日第二貯水池取水塔,登録有形文化財,,下関市大字内日上字下瀬戸,34.089191,130.9487
山口県,下関市,下関市水道局内日第二貯水池溢水隧道入口,登録有形文化財,,下関市大字内日上字下瀬戸,34.089191,130.9487
山口県,下関市,下関市水道局水道資料室（旧日和山浄水場事務所）,登録有形文化財,,下関市長崎中央町,33.956039,130.929245
山口県,下関市,下関市立長府博物館本館（旧長門尊攘堂）,登録有形文化財,,下関市長府川端,33.995686,130.981888
山口県,下関市,下関市南部町郵便局庁舎,登録有形文化財,,下関市南部町,33.955765,130.940384
山口県,下関市,護國寺本堂,登録有形文化財,,下関市上田中町,33.966675,130.938293
山口県,下関市,日本基督教団下関丸山教会（旧日本メソヂスト下関教会）会堂,登録有形文化財,,下関市丸山町,33.95723,130.936081
山口県,下関市,功山寺総門,登録有形文化財,,下関市長府川端,33.995686,130.981888
山口県,下関市,歌野清流庵,登録有形文化財,,下関市菊川町大字上岡枝,34.158268,131.020737
山口県,下関市,藤原義江記念館（旧リンガー邸）,登録有形文化財,,下関市阿弥陀寺町,33.95937,130.94838
山口県,下関市,中野家住宅主屋,登録有形文化財,,下関市大字内日,34.102749,130.967499
山口県,下関市,中野家住宅納屋,登録有形文化財,,下関市大字内日,34.102749,130.967499
山口県,下関市,中野家住宅土蔵,登録有形文化財,,下関市大字内日,34.102749,130.967499
山口県,下関市,中野家住宅塀,登録有形文化財,,下関市大字内日,34.102749,130.967499
山口県,下関市,中野家住宅石垣,登録有形文化財,,下関市大字内日,34.102749,130.967499
山口県,下関市,めぐみ幼稚園第一園舎（旧下関バプテスト教会）,登録有形文化財,,下関市上田中町,33.966675,130.938293
山口県,下関市,めぐみ幼稚園第二園舎（旧宣教師住宅）,登録有形文化財,,下関市上田中町,33.966675,130.938293
山口県,下関市,大乗寺山門,登録有形文化財,,下関市長府金屋町,34.002331,130.98999
山口県,下関市,大乗寺鐘楼,登録有形文化財,,下関市長府金屋町,34.002331,130.98999
山口県,下関市,日清講和記念館,登録有形文化財,,下関市阿弥陀寺町,33.95937,130.94838
山口県,下関市,蜂谷ビル（旧東洋捕鯨株式会社下関支店）,登録有形文化財,,下関市岬之町,33.951572,130.935165
山口県,下関市,玉椿旅館,登録有形文化財,,下関市豊浦町大字川棚字湯町,34.168091,130.95723
山口県,下関市,護國寺清正公堂,登録有形文化財,,下関市上田中町,33.966675,130.938293
山口県,下関市,護國寺納骨堂,登録有形文化財,,下関市上田中町,33.966675,130.938293
山口県,下関市,護國寺門柱,登録有形文化財,,下関市上田中町,33.966675,130.938293
山口県,下関市,旧宮崎商館,登録有形文化財,,下関市田中町,33.959755,130.94104
山口県,下関市,住吉神社楼門,登録有形文化財,,下関市一の宮住吉,34.002644,130.957153
山口県,下関市,住吉神社唐門及び透塀,登録有形文化財,,下関市一の宮住吉,34.002644,130.957153
山口県,下関市,赤間神宮水天門及び回廊,登録有形文化財,,下関市阿弥陀寺町,33.95937,130.94838
山口県,宇部市,旧桃山一号配水池監視廊入口,登録有形文化財,,宇部市大字小串字開立,33.949139,131.232529
山口県,宇部市,桃山配水計量室,登録有形文化財,,宇部市大字小串字福富,33.949139,131.232529
山口県,宇部市,沖ノ山電車竪坑石垣,登録有形文化財,,宇部市大字小串字沖ノ山,33.949139,131.232529
山口県,宇部市,永山本家酒造場事務所（旧二俣瀬村役場庁舎）,登録有形文化財,,宇部市大字車地,34.044338,131.296204
山口県,宇部市,瑞松庵山門,登録有形文化財,,宇部市大字船木字瑞松庵,34.052166,131.207214
山口県,山口市,山口市水道局電気室（旧宮島水源地ポンプ室）,登録有形文化財,,山口市宮島町,34.166775,131.479019
山口県,山口市,クリエイティブ・スペース赤レンガ（旧山口県立山口図書館書庫）,登録有形文化財,,山口市中河原町,34.179104,131.476349
山口県,山口市,山口県立山口高等学校記念館（旧制山口高等学校講堂）,登録有形文化財,,山口市糸米,34.17458,131.465424
山口県,山口市,旧野村家住宅主屋（山口ふるさと伝承総合センターまなび館）,登録有形文化財,,山口市下竪小路,34.182751,131.479141
山口県,山口市,旧野村家住宅土蔵,登録有形文化財,,山口市下竪小路,34.182751,131.479141
山口県,山口市,江畑溜池堰堤,登録有形文化財,,山口市阿知須源河,34.010948,131.314819
山口県,山口市,旧山口電信局舎,登録有形文化財,,山口市白石町一丁目,34.177883,131.470551
山口県,山口市,山水園本館,登録有形文化財,,山口市緑町,34.171021,131.464767
山口県,山口市,旧桂ヶ谷貯水池堰堤,登録有形文化財,,山口市小郡上郷,34.134544,131.395523
山口県,萩市,明倫小学校本館,登録有形文化財,,萩市大字江向,34.406464,131.397812
山口県,萩市,萩駅舎,登録有形文化財,,萩市椿,34.389774,131.405716
山口県,萩市,むつみ村役場旧庁舎,登録有形文化財,,萩市吉部上,34.444626,131.588745
山口県,萩市,むつみ村役場土蔵,登録有形文化財,,萩市吉部上,34.444626,131.588745
山口県,萩市,三見橋,登録有形文化財,,萩市三見字梅ノ木,34.387905,131.340515
山口県,萩市,鹿背隧道,登録有形文化財,,萩市大字明木字悴ケ坂～大字椿字悴ケ坂,34.317074,131.413254
山口県,萩市,下横瀬公民館（旧明木村立図書館）,登録有形文化財,,萩市大字明木下横瀬,34.317074,131.413254
山口県,萩市,落合の石橋,登録有形文化財,,萩市大字明木佐々並落合,34.317074,131.413254
山口県,防府市,防府天満宮本殿・幣殿・拝殿,登録有形文化財,,防府市松崎町,34.063343,131.575256
山口県,防府市,三田尻塩田旧越中屋釜屋煙突,登録有形文化財,,防府市大字浜方,34.016449,131.557281
山口県,防府市,春風楼,登録有形文化財,,防府市松崎町,34.063343,131.575256
山口県,防府市,山内家住宅主屋,登録有形文化財,,防府市栄町,34.058655,131.571701
山口県,防府市,山内家住宅蔵,登録有形文化財,,防府市栄町,34.058655,131.571701
山口県,防府市,山内家住宅男衆部屋,登録有形文化財,,防府市栄町,34.058655,131.571701
山口県,防府市,山内家住宅女衆部屋,登録有形文化財,,防府市栄町,34.058655,131.571701
山口県,防府市,山内家住宅納屋,登録有形文化財,,防府市栄町,34.058655,131.571701
山口県,防府市,山内家住宅門及び塀,登録有形文化財,,防府市栄町,34.058655,131.571701
山口県,防府市,清水家住宅主屋,登録有形文化財,,防府市大字富海,34.057678,131.645584
山口県,防府市,白石家住宅主屋,登録有形文化財,,防府市宮市町,34.061096,131.570877
山口県,防府市,白石家住宅呉服蔵,登録有形文化財,,防府市宮市町３１１他,34.061096,131.570877
山口県,防府市,白石家住宅道具蔵及び食物蔵,登録有形文化財,,防府市宮市町３１１他,34.061096,131.570877
山口県,岩国市,岩国徴古館,登録有形文化財,,岩国市横山,34.166225,132.171951
山口県,岩国市,國安家住宅,登録有形文化財,,岩国市岩国,34.165962,132.179688
山口県,岩国市,旧岩国税務署,登録有形文化財,,岩国市岩国,34.165962,132.179688
山口県,岩国市,錦雲閣,登録有形文化財,,岩国市横山,34.166225,132.171951
山口県,岩国市,水西書院,登録有形文化財,,岩国市川西,34.161026,132.173218
山口県,岩国市,旧吉川邸厩門,登録有形文化財,,岩国市横山,34.166225,132.171951
山口県,岩国市,ＪＲ西岩国駅駅舎,登録有形文化財,,岩国市錦見,34.170242,132.188629
山口県,岩国市,旧宇野千代家住宅主屋,登録有形文化財,,岩国市川西二丁目,34.158451,132.172073
山口県,岩国市,岩国徴古館第一収蔵庫,登録有形文化財,,岩国市横山二丁目,34.170841,132.176147
山口県,岩国市,岩国徴古館第二収蔵庫,登録有形文化財,,岩国市横山二丁目,34.170841,132.176147
山口県,岩国市,岩国練武場,登録有形文化財,,岩国市岩国三丁目,34.162498,132.183823
山口県,光市,光ふるさと郷土館別館　磯部家住宅主屋,登録有形文化財,,光市室積,33.931297,131.973618
山口県,光市,光ふるさと郷土館別館　磯部家住宅釜屋,登録有形文化財,,光市室積,33.931297,131.973618
山口県,光市,光ふるさと郷土館別館　磯部家住宅離れ座敷（茶室）,登録有形文化財,,光市室積,33.931297,131.973618
山口県,柳井市,柳井市町並み資料館（旧周防銀行本店）,登録有形文化財,,柳井市大字柳井津字金屋町,33.967808,132.110336
山口県,周南市,四熊家住宅主屋,登録有形文化財,,周南市土井,34.079254,131.770813
山口県,周南市,四熊家住宅診療棟,登録有形文化財,,周南市土井,34.079254,131.770813
山口県,周南市,周南市市長公舎洋館,登録有形文化財,,周南市慶万町,34.048992,131.813782
山口県,周南市,周南市市長公舎和館,登録有形文化財,,周南市慶万町,34.048992,131.813782
山口県,周南市,旧日下医院本館,登録有形文化財,,周南市土井,34.079254,131.770813
山口県,周南市,旧日下医院別館,登録有形文化財,,周南市土井,34.079254,131.770813
山口県,周南市,旧日下医院正門及び塀,登録有形文化財,,周南市土井,34.079254,131.770813
山口県,周南市,遠石八幡宮本殿,登録有形文化財,,周南市遠石,34.041256,131.819565
山口県,周南市,遠石八幡宮弊殿,登録有形文化財,,周南市遠石,34.041256,131.819565
山口県,周南市,遠石八幡宮拝殿,登録有形文化財,,周南市遠石,34.041256,131.819565
山口県,周南市,遠石八幡宮祭器庫,登録有形文化財,,周南市遠石,34.041256,131.819565
山口県,周南市,遠石八幡宮神饌所,登録有形文化財,,周南市遠石,34.041256,131.819565
山口県,周南市,遠石八幡宮透塀,登録有形文化財,,周南市遠石,34.041256,131.819565
山口県,周南市,遠石八幡宮神門及び袖塀,登録有形文化財,,周南市遠石,34.041256,131.819565
山口県,周南市,遠石八幡宮手水舎,登録有形文化財,,周南市遠石,34.041256,131.819565
山口県,周南市,松室大橋,登録有形文化財,,周南市大字金峰字川本から周南市大字金峰字上東松室,34.171551,131.906876
山口県,山陽小野田市,小野田セメント山手倶楽部,登録有形文化財,,山陽小野田市大字小野田字小屋ノ尾,33.957695,131.172302
山口県,下関市,豊北の漁撈用具,登録有形民俗文化財,,下関市豊北町神田上,34.281658,130.900955
山口県,宇部市,常盤公園,登録記念物,,宇部市大字沖宇部字常盤,33.93018,131.27626
山口県,山口市,山水園庭園,登録記念物,,山口市緑町,34.171021,131.464767
山口県,山口市,松田屋ホテル庭園,登録記念物,,山口市湯田温泉,34.165043,131.459717
山口県,下関市,"法輪寺本堂
　付　　棟木　応永二十年の墨書がある　一本
　　　　天神社宮殿　一棟",県指定有形文化財（建造物）,,下関市菊川町大字七見,34.109898,131.006638
